Start_Time,End_Time,Facility_Code,Participant_Code,Status,Reason,Outage_MW,Recovery_Time_Minutes,Description
28/12/2017 06:00:00,28/12/2017 10:00:00,DNHR_DENMARK_WF1,DNHR,Approved,Consequential,1.44,0,a network outage in Denmark caused the windfarm to trip at 6:26 am
26/12/2017 09:00:00,26/12/2017 12:00:00,COLLGAR_WF1,COLLGAR,Approved,Forced,30,,Forced Outage - BS on Overhead line pole S-81 - CG10/11
31/12/2017 09:00:00,31/12/2017 09:00:00,AURICON_PNJ_U1,AURICON,Approved,Forced,5.703,0,Under generation - ambient conditions
31/12/2017 08:30:00,31/12/2017 08:30:00,AURICON_PNJ_U1,AURICON,Approved,Forced,5.085,0,Under generation - ambient conditions
31/12/2017 08:00:00,31/12/2017 08:00:00,AURICON_PNJ_U1,AURICON,Approved,Forced,5.02,0,Under generation - ambient conditions
30/12/2017 23:30:00,30/12/2017 23:30:00,AURICON_PNJ_U1,AURICON,Approved,Forced,5.79,0,Under generation - ambient conditions
30/12/2017 23:00:00,30/12/2017 23:00:00,AURICON_PNJ_U1,AURICON,Approved,Forced,5.412,0,Under generation - ambient conditions
30/12/2017 22:30:00,30/12/2017 22:30:00,AURICON_PNJ_U1,AURICON,Approved,Forced,4.735,0,Under generation - ambient conditions
29/12/2017 23:30:00,29/12/2017 23:30:00,AURICON_PNJ_U1,AURICON,Approved,Forced,4.245,0,Under generation - ambient conditions
29/12/2017 23:00:00,29/12/2017 23:00:00,AURICON_PNJ_U1,AURICON,Approved,Forced,3.962,0,Under generation - ambient conditions
29/12/2017 22:30:00,29/12/2017 22:30:00,AURICON_PNJ_U1,AURICON,Approved,Forced,4.036,0,Under generation - ambient conditions
28/12/2017 05:00:00,28/12/2017 05:00:00,AURICON_PNJ_U1,AURICON,Approved,Forced,4.472,0,Under generation - ambient conditions
28/12/2017 04:30:00,28/12/2017 04:30:00,AURICON_PNJ_U1,AURICON,Approved,Forced,4.112,0,Under generation - ambient conditions
27/12/2017 05:30:00,27/12/2017 05:30:00,AURICON_PNJ_U1,AURICON,Approved,Forced,4.088,0,Under generation - ambient conditions
27/12/2017 05:00:00,27/12/2017 05:00:00,AURICON_PNJ_U1,AURICON,Approved,Forced,3.414,0,Under generation - ambient conditions
27/12/2017 04:30:00,27/12/2017 04:30:00,AURICON_PNJ_U1,AURICON,Approved,Forced,3.594,0,Under generation - ambient conditions
30/12/2017 18:30:00,30/12/2017 18:30:00,MELK_G7,MELK,Approved,Forced,4,0,Boiler feedpump capacity
30/12/2017 17:30:00,30/12/2017 18:30:00,MELK_G7,MELK,Approved,Forced,4.721,0,Rotary Air Heater seals
30/12/2017 19:30:00,1/01/2018 19:00:00,MELK_G7,MELK,Approved,Forced,28.977,12,High silica restriction
30/12/2017 13:00:00,30/12/2017 14:00:00,MELK_G7,MELK,Approved,Forced,47.108,12,Turbine governor valve fault
29/12/2017 21:30:00,30/12/2017 11:30:00,MELK_G7,MELK,Approved,Forced,39.108,12,High silica restriction
20/12/2017 17:00:00,7/01/2018 21:30:00,AURICON_PNJ_U1,AURICON,Approved,Forced,1,,Reduced generation capability
30/12/2017 16:00:00,30/12/2017 16:00:00,TIWEST_COG1,TRMOS,Approved,Forced,12.64,,Deviation from resource plan
27/12/2017 17:00:00,27/12/2017 17:00:00,TIWEST_COG1,TRMOS,Approved,Forced,21.29,,Deviation from resource plan
25/12/2017 17:00:00,25/12/2017 17:00:00,TIWEST_COG1,TRMOS,Approved,Forced,21.93,,Deviation from resource plan
25/12/2017 16:30:00,25/12/2017 16:30:00,TIWEST_COG1,TRMOS,Approved,Forced,25.22,,Deviation from resource plan
25/12/2017 17:30:00,25/12/2017 17:30:00,TIWEST_COG1,TRMOS,Cancelled By Market Participant,Forced,20.92,0,Deviation from resource plan
25/12/2017 16:30:00,25/12/2017 16:30:00,TIWEST_COG1,TRMOS,Cancelled By Market Participant,Forced,22.94,0,Deviation from resource plan
30/12/2017 09:00:00,3/01/2018 10:30:00,WEST_KALGOORLIE_GT2,WGUTD,Approved,Forced,38.827,,Forced outage due to master protective start up lockout alarm
31/12/2017 10:30:00,2/01/2018 11:00:00,KORL_GT3,KORL,Approved,Forced,103.2,0,Forced outage due to a high vibration alert on power turbine
31/12/2017 10:00:00,31/12/2017 10:00:00,KORL_GT3,KORL,Approved,Forced,92.88,,Forced outage due to a high vibration alert on power turbine
31/12/2017 18:00:00,8/01/2018 11:00:00,COLLGAR_WF1,COLLGAR,Approved,Forced,253.288,,Steam turbine rebuild and cold commissioning
28/12/2017 14:00:00,28/12/2017 14:00:00,WEST_KALGOORLIE_GT2,WGUTD,Approved,Forced,32.356,0,Forced outage due to master protective lockout
28/12/2017 13:30:00,28/12/2017 13:30:00,WEST_KALGOORLIE_GT2,WGUTD,Approved,Forced,19.4,,Forced outage due to master protective lockout
28/12/2017 00:00:00,28/12/2017 00:00:00,PJRH_GT11,PJRH,Approved,Forced,43.3,0,Forced outage due to a faulty fire damper limit switch
28/12/2017 11:00:00,28/12/2017 11:00:00,PJRH_GT11,PJRH,Approved,Forced,26,0,Forced outage due to a faulty fire damper limit switch
28/12/2017 00:30:00,28/12/2017 10:30:00,PJRH_GT11,PJRH,Approved,Forced,130,0,Forced outage due to a faulty fire damper limit switch
28/12/2017 00:00:00,28/12/2017 00:00:00,PJRH_GT11,PJRH,Cancelled By Market Participant,Forced,43.3,0,Forced outage due to a faulty fire damper limit switch
21/12/2017 15:30:00,21/12/2017 15:30:00,TIWEST_COG1,TRMOS,Approved,Forced,18.44,,Deviation from resource plan
18/12/2017 20:00:00,18/12/2017 20:00:00,TIWEST_COG1,TRMOS,Approved,Forced,14.8,,Deviation from resource plan
18/12/2017 17:30:00,18/12/2017 17:30:00,TIWEST_COG1,TRMOS,Approved,Forced,20.92,,Deviation from resource plan
18/12/2017 16:30:00,18/12/2017 16:30:00,TIWEST_COG1,TRMOS,Approved,Forced,22.94,,Deviation from resource plan
29/12/2017 15:30:00,29/12/2017 17:30:00,MELK_G7,MELK,Approved,Opportunistic Maintenance (Planned),120,1,Reduced Load
29/12/2017 12:00:00,29/12/2017 12:00:00,AUXC_WGP,AUXC,Approved,Forced,12.87,,Refinery Issues - Steam/Power Imbalance
22/12/2017 20:00:00,23/12/2017 01:30:00,STHRNCRS_EG,STHRNCRS,Approved,Forced,23,,"KNS GT Tripped on vibration alarm, 4 hour lock out."
22/12/2017 13:00:00,22/12/2017 13:00:00,AURICON_PNJ_U1,AURICON,Approved,Forced,34.411,0,Output reduced due to ambient conditions
22/12/2017 12:30:00,22/12/2017 12:30:00,AURICON_PNJ_U1,AURICON,Approved,Forced,36.676,0,Output reduced due to ambient conditions
21/12/2017 09:30:00,21/12/2017 09:30:00,AURICON_PNJ_U1,AURICON,Approved,Forced,19.051,0,Unit slow to ramp up
21/12/2017 09:00:00,21/12/2017 09:00:00,AURICON_PNJ_U1,AURICON,Approved,Forced,63.218,0,Unit slow to ramp up
21/12/2017 08:00:00,21/12/2017 08:00:00,AURICON_PNJ_U1,AURICON,Approved,Forced,119.31,0,Unit slow to ramp up
